DATE,REPORT_TYPE,DailyAverageDryBulbTemperature,DailyPrecipitation,DailySnowfall,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindSpeed
1996-07-01T01:00:00,FM-15,,,,61,70,73,29.76,29.53,9.94,64,220,8
1996-07-01T02:00:00,FM-15,,,,61,70,73,29.76,29.53,9.94,64,220,8
1996-07-01T03:00:00,FM-15,,,,61,68,78,29.76,29.53,9.94,64,220,8
1996-07-01T03:50:00,FM-15,,,,59,66,78,29.78,29.53,9.94,62,220,6
1996-07-01T04:00:00,NSRDB,,,,,,,,,,,,
1996-07-01T04:50:00,FM-15,,,,59,64,83,29.79,29.56,14.91,61,240,7
1996-07-01T05:00:00,NSRDB,,,,,,,,,,,,
1996-07-01T05:50:00,FM-15,,,,59,66,78,29.8,29.57,14.91,62,240,7
1996-07-01T06:00:00,NSRDB,,,,,,,,,,,,
1996-07-01T06:50:00,FM-15,,,,57,70,64,29.83,29.59,14.91,62,240,8
1996-07-01T07:00:00,NSRDB,,,,,,,,,,,,
1996-07-01T07:50:00,FM-15,,,,57,72,61,29.83,29.59,14.91,63,250,14
1996-07-01T08:00:00,NSRDB,,,,,,,,,,,,
1996-07-01T09:00:00,FM-15,,,,57,73,57,29.83,29.6,14.91,63,240,9
1996-07-01T10:00:00,FM-15,,,,57,75,54,29.83,29.6,14.91,64,240,14
1996-07-01T11:00:00,FM-15,,,,57,77,51,29.83,29.6,14.91,65,240,14
1996-07-01T12:00:00,FM-15,,,,59,79,51,,29.6,14.91,67,240,12
1996-07-01T13:00:00,FM-15,,,,55,81,42,29.83,29.6,14.91,65,240,14
1996-07-01T14:00:00,FM-15,,,,57,82,42,29.83,29.59,14.91,67,250,15
1996-07-01T15:00:00,FM-15,,,,57,84,40,29.81,29.58,14.91,67,270,17
1996-07-01T16:00:00,FM-15,,,,61,82,48,29.81,29.58,14.91,69,200,9
1996-07-01T17:00:00,FM-15,,,,61,82,48,29.81,29.58,14.91,69,200,12
1996-07-01T18:00:00,FM-15,,,,61,81,51,29.8,29.57,14.91,68,230,9
